2019-08-04 15:00:21 INFO  Logging:23 - Program started.
2019-08-04 15:00:27 INFO  Logging:41 - Showing welcome screen.
2019-08-04 15:00:27 INFO  Logging:50 - User chose option 2 in welcome screen.
2019-08-04 15:00:27 INFO  Logging:544 - Showing create new user screen.
2019-08-04 15:00:30 INFO  Logging:557 - Prompting user to input if new user is an employee or not.
2019-08-04 15:00:30 INFO  Logging:562 - User chose option 1. Showing create new employee screen.
2019-08-04 15:00:30 INFO  Logging:563 - Prompting user to input employee authorization code.
2019-08-04 15:00:31 INFO  Logging:568 - User input authorization code: 123
2019-08-04 15:00:31 INFO  Logging:571 - Authorization successful.
2019-08-04 15:00:31 INFO  Logging:580 - Prompting user to input if new user is an Admin or not.
2019-08-04 15:00:33 INFO  Logging:586 - User chose option 1. Showing create new admin screen.
2019-08-04 15:00:33 INFO  Logging:587 - Prompting user to input admin authorizatin code.
2019-08-04 15:00:34 INFO  Logging:592 - User input authorization code: 321
2019-08-04 15:00:34 INFO  Logging:595 - Authorization successful.
2019-08-04 15:00:38 INFO  Logging:620 - Creating new user with username: admin, password: admin.
2019-08-04 15:00:38 INFO  Logging:632 - New user successfully created.
2019-08-04 15:00:39 INFO  Logging:41 - Showing welcome screen.
2019-08-04 15:00:39 INFO  Logging:50 - User chose option 2 in welcome screen.
2019-08-04 15:00:39 INFO  Logging:544 - Showing create new user screen.
2019-08-04 15:00:40 INFO  Logging:557 - Prompting user to input if new user is an employee or not.
2019-08-04 15:00:40 INFO  Logging:606 - User chose option 2. New user will be a customer.
2019-08-04 15:00:46 INFO  Logging:620 - Creating new user with username: customer, password: customer.
2019-08-04 15:00:46 INFO  Logging:632 - New user successfully created.
2019-08-04 15:00:47 INFO  Logging:41 - Showing welcome screen.
2019-08-04 15:00:47 INFO  Logging:46 - User chose option 1 in welcome screen.
2019-08-04 15:00:47 INFO  Logging:72 - Showing log in screen.
2019-08-04 15:00:51 INFO  Logging:79 - Attempting to log in with Username: customer, Password: customer
2019-08-04 15:00:51 INFO  Logging:103 - Log in successful.
2019-08-04 15:00:51 INFO  Logging:121 - Customer: customer is logged in.
2019-08-04 15:00:52 INFO  Logging:138 - User chose option 2. Showing Account application screen.
2019-08-04 15:00:53 INFO  Logging:255 - Showing apply for Account screen.
2019-08-04 15:00:53 INFO  Logging:260 - User chose option 1.
2019-08-04 15:00:54 INFO  Logging:282 - Showing add joint owner option screen.
2019-08-04 15:00:54 INFO  Logging:299 - User chose option 2. No joint owner will be added.
2019-08-04 15:00:54 INFO  Logging:121 - Customer: customer is logged in.
2019-08-04 15:00:55 INFO  Logging:131 - User chose option 1. Showing Accounts screen.
2019-08-04 15:00:55 INFO  Logging:243 - Showing user: customer's Accounts.
2019-08-04 15:00:55 INFO  Logging:156 - Showing operate on Accounts screen.
2019-08-04 15:01:00 INFO  Logging:163 - User chose option 0. Exiting the menu.
2019-08-04 15:01:02 INFO  Logging:375 - Showing transfer funds menu screen.
2019-08-04 15:01:02 INFO  Logging:391 - User chose option 2. Exiting transfer funds menu screen.
2019-08-04 15:01:02 INFO  Logging:121 - Customer: customer is logged in.
2019-08-04 15:01:03 INFO  Logging:138 - User chose option 2. Showing Account application screen.
2019-08-04 15:01:04 INFO  Logging:255 - Showing apply for Account screen.
2019-08-04 15:01:04 INFO  Logging:264 - User chose option 2.
2019-08-04 15:01:06 INFO  Logging:282 - Showing add joint owner option screen.
2019-08-04 15:01:06 INFO  Logging:299 - User chose option 2. No joint owner will be added.
2019-08-04 15:01:06 INFO  Logging:121 - Customer: customer is logged in.
2019-08-04 15:01:09 INFO  Logging:127 - User chose option 0. Logging user out.
2019-08-04 15:01:10 INFO  Logging:41 - Showing welcome screen.
2019-08-04 15:01:10 INFO  Logging:46 - User chose option 1 in welcome screen.
2019-08-04 15:01:10 INFO  Logging:72 - Showing log in screen.
2019-08-04 15:01:12 INFO  Logging:79 - Attempting to log in with Username: admin, Password: admin
2019-08-04 15:01:12 INFO  Logging:103 - Log in successful.
2019-08-04 15:01:12 INFO  Logging:497 - Admin: admin is logged in.
2019-08-04 15:01:12 INFO  Logging:505 - Prompting user to chose an action to take.
2019-08-04 15:01:13 INFO  Logging:515 - User chose option 1. Showing all active users.
2019-08-04 15:01:16 INFO  Logging:358 - User chose to view User: customer's Accounts.
2019-08-04 15:01:19 INFO  Logging:375 - Showing transfer funds menu screen.
2019-08-04 15:01:19 INFO  Logging:391 - User chose option 2. Exiting transfer funds menu screen.
2019-08-04 15:01:19 INFO  Logging:156 - Showing operate on Accounts screen.
2019-08-04 15:01:22 INFO  Logging:163 - User chose option 0. Exiting the menu.
2019-08-04 15:01:22 INFO  Logging:497 - Admin: admin is logged in.
2019-08-04 15:01:22 INFO  Logging:505 - Prompting user to chose an action to take.
2019-08-04 15:01:24 INFO  Logging:522 - User chose option 2. Showing all Account applications.
2019-08-04 15:01:24 INFO  Logging:435 - Printing all open Account applications.
2019-08-04 15:01:26 INFO  Logging:444 - Prompting user to chose to approve or deny an account.
2019-08-04 15:01:26 INFO  Logging:449 - User chose option 1. Showing approve an Account screen.
2019-08-04 15:01:26 INFO  Logging:465 - Showing approve an Account screen.
2019-08-04 15:01:26 INFO  Logging:466 - Prompting user to input Account ID to approve or deny.
2019-08-04 15:01:27 INFO  Logging:471 - User input Account ID: 2.
2019-08-04 15:01:29 INFO  Logging:480 - User chose option 1. Approving Account ID: 2
2019-08-04 15:01:29 INFO  Logging:497 - Admin: admin is logged in.
2019-08-04 15:01:29 INFO  Logging:505 - Prompting user to chose an action to take.
2019-08-04 15:01:33 INFO  Logging:528 - User chose option 3. Showing cancel an account screen.
2019-08-04 15:01:40 INFO  Logging:497 - Admin: admin is logged in.
2019-08-04 15:01:40 INFO  Logging:505 - Prompting user to chose an action to take.
2019-08-04 15:01:41 INFO  Logging:515 - User chose option 1. Showing all active users.
2019-08-04 15:01:43 INFO  Logging:358 - User chose to view User: customer's Accounts.
2019-08-04 15:01:50 INFO  Logging:375 - Showing transfer funds menu screen.
2019-08-04 15:01:50 INFO  Logging:382 - User chose option 1. Prompting user to enter ID of accounts to transfer between.
2019-08-04 15:01:54 INFO  Logging:387 - User input transfer from Accout ID: 2 to Account ID: 3
2019-08-04 15:01:54 INFO  Logging:403 - Showing transfer funds screen.
2019-08-04 15:01:55 INFO  Logging:409 - Prompting user to input amount of money to transfer.
2019-08-04 15:01:55 INFO  Logging:415 - User input transfer amount: $100.0
2019-08-04 15:01:55 INFO  Logging:424 - Attempting to transfer $100.0 from Account ID: 2 to Account ID: 3
2019-08-04 15:01:55 INFO  Logging:156 - Showing operate on Accounts screen.
2019-08-04 15:01:57 INFO  Logging:163 - User chose option 0. Exiting the menu.
2019-08-04 15:01:57 INFO  Logging:497 - Admin: admin is logged in.
2019-08-04 15:01:57 INFO  Logging:505 - Prompting user to chose an action to take.
2019-08-04 15:01:58 INFO  Logging:511 - User chose option 0. Logging user out.
2019-08-04 15:01:59 INFO  Logging:41 - Showing welcome screen.
2019-08-04 15:01:59 INFO  Logging:54 - User chose exit in welcome screen. Saving resources and exiting application.
